processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBITS61570-21	HF542818	13548624		HF542818	Mined from GenBank, NCBI			12	Magnoliophyta	41	Magnoliopsida	121244	Ericales	148758	Sapotaceae	447334	Sapotoideae	1084412	Diploknema	1116339	Diploknema butyracea																																	Nepal													
GBMH0938-06	AY589959	486581			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	737139	Psocodea	1867	Pediculidae			6351	Pediculus	28246	Pediculus humanus					Linnaeus, 1758																												Nepal													
GBMH1019-06	AY590040	486662			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	737139	Psocodea	1867	Pediculidae			6351	Pediculus	28246	Pediculus humanus					Linnaeus, 1758																												Nepal													
GBMIN104873-17	KR811356	8445255		KR811356	Mined from GenBank, NCBI		BOLD:ADJ8445	23	Mollusca	92	Gastropoda			1476	Planorbidae			5981	Indoplanorbis	29494	Indoplanorbis exustus					Deshayes, 1834																												Nepal													
GBMIN24171-13	AB709100	3180401		AB709100	Mined from GenBank, NCBI		BOLD:AAQ0254	20	Arthropoda	82	Insecta	105	Odonata	1866	Libellulidae	96062	Libellulinae	4091	Orthetrum	28318	Orthetrum triangulare					Selys, 1878					Akihiko Sasamoto													Orthetrum triangulare										Nepal													
GBML8505-19	KU376216	9684121	UGSB 10590	KU376216	Mined from GenBank, NCBI		BOLD:ADR2228	23	Mollusca	70	Bivalvia	952831	Sphaeriida	668	Sphaeriidae	762484	Sphaeriinae	348861	Pisidium	901301	Pisidium cf. ellisi																																	Nepal													
GBMLG17202-14	KC495755	5139488		KC495755	Mined from GenBank, NCBI		BOLD:ACP9818	23	Mollusca	92	Gastropoda			1476	Planorbidae	659609	Planorbinae	5978	Gyraulus	406603	Gyraulus sp.																								isolate: 15665	27.6494	85.2831							Nepal													
GBMNC39393-20	MN840139	12428588		MN840139	Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	133	Hemiptera	1293	Aleyrodidae	6345	Aleyrodinae	27395	Bemisia	27396	Bemisia tabaci					Gennadius, 1889																												Nepal													
GBMNC39397-20	MN840135	12428592		MN840135	Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	133	Hemiptera	1293	Aleyrodidae	6345	Aleyrodinae	27395	Bemisia	27396	Bemisia tabaci					Gennadius, 1889																												Nepal													
GBMNC63352-20	MN433198	12453225	IPRL Nepal_egena_colony 1	MN433198	Mined from GenBank, NCBI		BOLD:AEG0409	20	Arthropoda	82	Insecta	413	Coleoptera	1813	Chrysomelidae	5960	Criocerinae	310191	Lilioceris	1003981	Lilioceris egena																																	Nepal													
GBMNE15198-21	MW359720	14231197	CAS:ENT:1052601		Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	312806	Nebriinae	90107	Nebria	1133769	Nebria capillosa																									28.97	82.85							Nepal													
GBMNE15515-21	MW359492	14231514	CAS:ENT:1052377		Mined from GenBank, NCBI		BOLD:AEN6544	20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	312806	Nebriinae	90107	Nebria	1133870	Nebria xanthacra	1133871	Nebria xanthacra morvani																							29.2003	82.3014							Nepal													
GBMNF27704-22	OL331086	15322346	NP2_12M	OL331086	Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	204281	Lutzia	204291	Lutzia vorax					Edwards, 1921																												Nepal													
GBSAC2152-13	JN942654	3870095		JN942654	Mined from GenBank, NCBI			34	Ascomycota	179993	Saccharomycetes	23639	Saccharomycetales	494154	Debaryomycetaceae			494550	Debaryomyces	569470	Debaryomyces nepalensis					Goto & Sugiy. 1968																			Debaryomyces nepalensis									Nepal													
GBVF479-11	JF970635	2289895	G. and S. Miehe 01-049-16 Miehe	JF970635	Mined from GenBank, NCBI			12	Magnoliophyta	41	Magnoliopsida	42252	Caryophyllales	100955	Caryophyllaceae			100956	Silene	368136	Silene nepalensis					Majumdar																		taxon:39895	authority: Silene nepalensis Majumdar									Nepal													
GBVN3893-11	DQ286008	2314127	Long 30558 (E).	DQ286008	Mined from GenBank, NCBI			256173	Marchantiophyta	256174	Marchantiopsida	176416	Marchantiales	414116	Targioniaceae			443409	Cyathodium	443410	Cyathodium tuberosum																							taxon:349374										Nepal													
GBVR072-13	AB088016	3694689	T. Watanabe s. n. PP-2000	AB088016	Mined from GenBank, NCBI			12	Magnoliophyta	41	Magnoliopsida	121204	Apiales	121205	Araliaceae	371516	Aralioideae	125247	Panax	417655	Panax pseudoginseng					Wall.																		taxon:44681										Nepal		Sundari Jal											
